fund,matched_fund,fund_confidence,form_d_firm_id,form_d_funds,cik_no_fund,form_adv_firm_id,form_adv_funds,crd_no_fund,firm_id
Lhb,,1.0,64652,Lhb,1315168.0,53912,,310188,
Johnston International Equity Fund I,Scs International Equity Fund,0.8124398633418645,64661,Johnston International Equity Fund I,1439938.0,14846,Scs International Equity Fund,104702,237.0
Disciplined Investor Fund,,1.0,61520,Disciplined Investor Fund,1590047.0,53912,,310188,
Merced Distressed Opportunities I,Western Asset Opportunistic Structured Securities Portfolio,0.9964968147050317,80403,Merced Distressed Opportunities I,1808391.0,12529,Western Asset Opportunistic Structured Securities Portfolio,110441,3384.0
Itb Premium Fund I,,0.9999999999999999,121714,Itb Premium Fund I,1346502.0,53912,,310188,
Multi Advisor Funds Emerging Markets Debt Fund,Capital Group Emerging Markets Debt Fund Lux,0.9175596510462487,33745,Multi Advisor Funds Emerging Markets Debt Fund,1544906.0,10035,Capital Group Emerging Markets Debt Fund Lux,162640,420.0
Hyperguapxlightship,,0.9999999999999999,147586,Hyperguapxlightship,1905124.0,53912,,310188,
Conversant Opportunity Fund,Conversant Opportunity Master Fund,0.4325961957414814,99145,Conversant Opportunity Fund,1838807.0,52337,Conversant Opportunity Master Fund,308201,120346.0
Squarepoint Core International Feeder,Squarepoint Master Fund,0.8612274401448594,41883,Squarepoint Core International Feeder,1735970.0,1136,Squarepoint Master Fund,192513,
Wearsafe Labs Holdings,,0.9999999999999998,173952,Wearsafe Labs Holdings,1664104.0,53912,,310188,
Linden International,Cendana International,0.7376468604029285,57557,Linden International,1459473.0,10949,Cendana International,165555,
Skybridge Algorand Offshore Fund,,1.0,134458,Skybridge Algorand Offshore Fund,1896162.0,53912,,310188,
York Credit Opportunities Unit Trust,Ag Corporate Credit Opportunities Fund,0.8846780237831735,31903,York Credit Opportunities Unit Trust,1460898.0,11617,Ag Corporate Credit Opportunities Fund,131940,168.0
Kotarba Partners Fund I,,1.0,35677,Kotarba Partners Fund I,1609061.0,53912,,310188,
Berens Global Value Fund,Arlington Global Value Fund,0.83053863046881,62819,Berens Global Value Fund,1282899.0,4893,Arlington Global Value Fund,114428,3086.0
Cardio Flow,,1.0,34641,Cardio Flow,1575455.0,53912,,310188,
Western Asset Opportunistic Asian Securities Portfolio,Western Asset Opportunistic Structured Securities Portfolio,0.5276429776075554,30686,Western Asset Opportunistic Asian Securities Portfolio,1388918.0,12529,Western Asset Opportunistic Structured Securities Portfolio,110441,3384.0
John Hancock Life Insurance Of New York Separate Account Ppm B,,1.0,69002,John Hancock Life Insurance Of New York Separate Account Ppm B,1458490.0,53912,,310188,
Uranium Energy,,0.9999999999999999,23855,Uranium Energy,1334933.0,53912,,310188,
Bu Fund I A Series Of Rarebreed Funds,Bu Gaingels Fund I A Series Of Mv Funds,0.8894033921144093,154885,Bu Fund I A Series Of Rarebreed Funds,1924229.0,54213,Bu Gaingels Fund I A Series Of Mv Funds,311231,
Edifyai,,1.0,162510,Edifyai,1809210.0,53912,,310188,
Spag I,,0.9999999999999999,32550,Spag I,1491995.0,53912,,310188,
Bluepearl Holdings,,0.9999999999999999,31394,Bluepearl Holdings,1436117.0,53912,,310188,
Virtual Kitchen,,0.9999999999999999,51362,Virtual Kitchen,1778911.0,53912,,310188,
Ngn Nextgen Investment Fund,Ourcrowd Investment In Nexa,0.9948562069928075,163560,Ngn Nextgen Investment Fund,1937786.0,11005,Ourcrowd Investment In Nexa,169475,
Brigade Distressed Value Offshore Fund,,1.0,68765,Brigade Distressed Value Offshore Fund,1509885.0,53912,,310188,
Coremap,,1.0,40414,Coremap,1717797.0,53912,,310188,
Westerly Partners Qp,Westriver Partners,0.9861641412621768,35639,Westerly Partners Qp,1607754.0,37619,Westriver Partners,152655,
Bridge Capital Asset Funding,Lending Capital Fund,0.9925657036897529,33181,Bridge Capital Asset Funding,1520589.0,6409,Lending Capital Fund,122268,
Msai Mv Fund,,1.0,94098,Msai Mv Fund,1831119.0,53912,,310188,
Konatel,,1.0,21643,Konatel,845819.0,53912,,310188,
Cyprus Woods,,1.0,170356,Cyprus Woods,1943457.0,53912,,310188,
Sra Private Equity Portfolio V E,Private Equity Polaris,0.8060478687202633,114434,Sra Private Equity Portfolio V E,1855473.0,3615,Private Equity Polaris,107738,259.0
Eckard Global,,0.9999999999999999,116546,Eckard Global,1551756.0,53912,,310188,
Dfn Alpha   Fund,Ascension Alpha Fund,0.9098950835194093,37328,Dfn Alpha   Fund,1656905.0,13253,Ascension Alpha Fund,107105,246.0
Golub Capital International,Paloma International,0.9049321347348975,61089,Golub Capital International,1502358.0,9758,Paloma International,160328,75584.0
Wilson Real Estate Assets,Miller Real Estate Fund Ii,0.9855864637053552,90455,Wilson Real Estate Assets,1824294.0,9270,Miller Real Estate Fund Ii,108380,3496.0
Qlcp Investment Fund,Tacp Glcp Investments Ccrii,0.7945804474201383,51504,Qlcp Investment Fund,1779181.0,6260,Tacp Glcp Investments Ccrii,162892,
Nextgen Sea Machines,,1.0,71260,Nextgen Sea Machines,1799553.0,53912,,310188,
Efemoral Medical,,1.0,175215,Efemoral Medical,1758320.0,53912,,310188,
Lift Aircraft,Gaingels Crafty,0.9917829968294563,150407,Lift Aircraft,1889418.0,58792,Gaingels Crafty,317099,
Preserver,,0.9999999999999999,55817,Preserver,1480112.0,53912,,310188,
Schroder Diversified Growth Portfolio,Growth Capital Qp Diversified Fund,0.9323943178465633,35843,Schroder Diversified Growth Portfolio,1613349.0,7942,Growth Capital Qp Diversified Fund,104953,5625.0
Ni Fund Iii A Series Of Caspari Investments,Si Fund Ii A Series Of Chris Golda Investments,0.8421088509086351,159642,Ni Fund Iii A Series Of Caspari Investments,1932054.0,50135,Si Fund Ii A Series Of Chris Golda Investments,304833,
Trutankless,,1.0,31283,Trutankless,1429393.0,53912,,310188,
Tiny Rolling Fund Qp A,Rolling Fun Gp A,0.9664261677919107,140946,Tiny Rolling Fund Qp A,1905853.0,60795,Rolling Fun Gp A,320625,
Bowery Farming,,1.0,113475,Bowery Farming,1655038.0,53912,,310188,
Elm New Haven,,0.9999999999999999,72637,Elm New Haven,1800213.0,53912,,310188,
Viridis Capital Fund I, Capital Fund I,0.8039742254901082,105603,Viridis Capital Fund I,1847068.0,48944, Capital Fund I,300538,
Captiva Verde Land,,0.9999999999999998,40114,Captiva Verde Land,1712294.0,53912,,310188,
Tpg Healthcare Partners Personnel,Heathcor Partners Fund,0.9042465750856472,60195,Tpg Healthcare Partners Personnel,1789506.0,55754,Heathcor Partners Fund,313836,
Ifg Cleanfiber Investors,,1.0000000000000002,61162,Ifg Cleanfiber Investors,1789834.0,53912,,310188,
Mh  A Series Of Aim Master,Sim Fund I A Series Of Mv Funds,0.9871911624318092,60707,Mh  A Series Of Aim Master,1788166.0,54213,Sim Fund I A Series Of Mv Funds,311231,
Ep Asia Equity Strategies,Sail Specialized Strategies Fund Spc Asia Equity Alpha Fund,0.8989299358651995,84519,Ep Asia Equity Strategies,1395549.0,1464,Sail Specialized Strategies Fund Spc Asia Equity Alpha Fund,153840,
Greyscaleai,,1.0,98086,Greyscaleai,1837455.0,53912,,310188,
Continuum Analytics,,0.9999999999999998,115282,Continuum Analytics,1538860.0,53912,,310188,
Ohcp Iv Bc Coi,,0.9999999999999998,65743,Ohcp Iv Bc Coi,1759497.0,53912,,310188,
Galore Resources,Ca Resources Fund Us Tax Exempt Series X Resources,0.8829716611479146,136174,Galore Resources,1434072.0,14261,Ca Resources Fund Us Tax Exempt Series X Resources,104942,4835.0
Proteus Feeder I Offshore Spc Segregated Portfolio A, Segregated Portfolio A Segregated Portfolio Of Sciens Real Assets Offshore Fund Spc,0.6850701474462396,56244,Proteus Feeder I Offshore Spc Segregated Portfolio A,1750907.0,56609, Segregated Portfolio A Segregated Portfolio Of Sciens Real Assets Offshore Fund Spc,299996,
William Blair Mb Investments Scp Fiii  Series,Rcp Mb Investments B,0.9298669978898152,157862,William Blair Mb Investments Scp Fiii  Series,1928969.0,965,Rcp Mb Investments B,171471,146505.0
Vin  Neurexis Therapeutics,Pfm Therapeutics Master Fund,0.9650748556823139,90075,Vin  Neurexis Therapeutics,1824299.0,11832,Pfm Therapeutics Master Fund,146747,3278.0
Jp Morgan U S Real Estate Income Growth Gmbh Kg,Lhi Goldman Sachs Real Estate Parallel Fund Gmbh & Kg,0.9983919376748481,31756,Jp Morgan U S Real Estate Income Growth Gmbh Kg,1457558.0,5463,Lhi Goldman Sachs Real Estate Parallel Fund Gmbh & Kg,361,7869.0
Spectrum Discretionary Overage Program Ii,Fulcrum Funds Spc Fulcrum Discretionary Macro Fund Sp,0.995808173413553,80388,Spectrum Discretionary Overage Program Ii,1807954.0,6219,Fulcrum Funds Spc Fulcrum Discretionary Macro Fund Sp,137661,7053.0
Philosophe Partners,,0.9999999999999999,109312,Philosophe Partners,1857478.0,53912,,310188,
Auxius Capital,,0.9999999999999999,160096,Auxius Capital,1889801.0,53912,,310188,
Indure Build To Core Fund,,1.0,61687,Indure Build To Core Fund,1503480.0,53912,,310188,
Goral Domestic Fund,Point Domestic Investments,0.9249689167161189,76461,Goral Domestic Fund,1493503.0,47,Point Domestic Investments,283077,6152.0
L Workforce Housing Fund Ii Investor,,1.0,150020,L Workforce Housing Fund Ii Investor,1916739.0,53912,,310188,
Mac Madison  Saint Clair Reit,,0.9999999999999999,180587,Mac Madison  Saint Clair Reit,1962560.0,53912,,310188,
Hermosa Brewing,,0.9999999999999999,75850,Hermosa Brewing,1802941.0,53912,,310188,
Napier Park European Credit Global Feeder,,1.0,60037,Napier Park European Credit Global Feeder,1587343.0,53912,,310188,
Fg Palm Beach Fund,,1.0,101714,Fg Palm Beach Fund,1841886.0,53912,,310188,
Fir Hill Value Opportunities Fund,Special Value Opportunities Fund,0.8034050432162412,39033,Fir Hill Value Opportunities Fund,1697231.0,13573,Special Value Opportunities Fund,132205,
Strata Skin Sciences,,1.0,28052,Strata Skin Sciences,1051514.0,53912,,310188,
Candriam Global Sustainable Emerging Markets Equities Fund,Candriam Equities L Emerging Markets,0.7460909434109331,153819,Candriam Global Sustainable Emerging Markets Equities Fund,1922104.0,14124,Candriam Equities L Emerging Markets,173155,
Lochridge Energy Onshore,,1.0,32972,Lochridge Energy Onshore,1512526.0,53912,,310188,
Pharmacielo,,1.0,36782,Pharmacielo,1641777.0,53912,,310188,
Ttcp Participation Fund Ii,,1.0,47404,Ttcp Participation Fund Ii,1771607.0,53912,,310188,
Opamp Capital Fund I, Capital Fund I,0.7955311858771957,132078,Opamp Capital Fund I,1892855.0,48944, Capital Fund I,300538,
Advantage Advisers Global Growth,Cr Advantage,0.8750439476931263,29320,Advantage Advisers Global Growth,1255618.0,2554,Cr Advantage,283476,12569.0
Magik Eye,,1.0,130647,Magik Eye,1680592.0,53912,,310188,
Touzi Mining Invest Ii,,1.0,164505,Touzi Mining Invest Ii,1939090.0,53912,,310188,
Main Post Growth Capital Iii,Growth Capital Real Estate,0.8863623250685848,152389,Main Post Growth Capital Iii,1920086.0,7942,Growth Capital Real Estate,104953,5625.0
Neuberger Berman High Income Fund,Neuberger Berman Strategic Income Fund,0.6950694032169461,70706,Neuberger Berman High Income Fund,1069232.0,13967,Neuberger Berman Strategic Income Fund,167947,
Two Sigma Active Extension Us All Cap Equity Beta Adjusted Cayman Fund,,1.0,54858,Two Sigma Active Extension Us All Cap Equity Beta Adjusted Cayman Fund,1650734.0,53912,,310188,
Nextpunch,,1.0,113474,Nextpunch,1566931.0,53912,,310188,
Park West Investors,Mg  West Marshall Drive Investors,0.933863794371392,30995,Park West Investors,1410766.0,60764,Mg  West Marshall Drive Investors,322399,
Gmo Fixed Income Absolute Return Fund Offshore,Pramerica Fixed Income Funds Plc Pramerica Absolute Total Return Fund,0.9373331819378601,30337,Gmo Fixed Income Absolute Return Fund Offshore,1363272.0,7609,Pramerica Fixed Income Funds Plc Pramerica Absolute Total Return Fund,105676,245.0
Serenity Alternative Investments Fund I,Fpp Alternative Investments I,0.7016868801732499,72735,Serenity Alternative Investments Fund I,1664689.0,3615,Fpp Alternative Investments I,107738,259.0
Eagle Parent Holdings,Eagletree Partners Iii,0.9399485737592863,64077,Eagle Parent Holdings,1633590.0,14693,Eagletree Partners Iii,160339,
Qlcp ,Tacp Glcp Investments Ccrii,0.854274028888964,88665,Qlcp ,1815382.0,6260,Tacp Glcp Investments Ccrii,162892,
Quiet Venture Ii, Ventures,0.898140135440774,114423,Quiet Venture Ii,1855446.0,60788, Ventures,322559,
Antibe Therapeutics,Pfm Therapeutics Master Fund,0.9117720397437502,56947,Antibe Therapeutics,1583682.0,11832,Pfm Therapeutics Master Fund,146747,3278.0
Braddock Partners,,1.0,10264,Braddock Partners,1406947.0,53912,,310188,
Fundersclub Qvw,,1.0,126060,Fundersclub Qvw,1882553.0,53912,,310188,
Maples ,,1.0,70333,Maples ,1798348.0,53912,,310188,
Organigram Holdings,,1.0,36078,Organigram Holdings,1620737.0,53912,,310188,
Linqto Liquidshares,,0.9999999999999999,134789,Linqto Liquidshares,1841356.0,53912,,310188,
Aeluma,,0.9999999999999999,103926,Aeluma,1828805.0,53912,,310188,
Atreides Special Circumstances Fund Series E Dis,,1.0,86333,Atreides Special Circumstances Fund Series E Dis,1816575.0,53912,,310188,
Coli Vul  Series Account,,1.0,28763,Coli Vul  Series Account,1157174.0,53912,,310188,
Sprott Private Resource Lending Ii International,,1.0,43819,Sprott Private Resource Lending Ii International,1759897.0,53912,,310188,
Moody Mosaic Dst,Moore,0.9914073358428246,126377,Moody Mosaic Dst,1884127.0,12371,Moore,155462,146245.0
Avatar Capital Finance,Filter Capital Fund I,0.9907837970099604,30130,Avatar Capital Finance,1342986.0,61563,Filter Capital Fund I,323771,
Pls,,0.9999999999999999,36391,Pls,1631875.0,53912,,310188,
Casper Sleep,,1.0,76247,Casper Sleep,1598674.0,53912,,310188,
Soperton Bancshares,,0.9999999999999999,67827,Soperton Bancshares,835594.0,53912,,310188,
Endeavour Regional Bank Opportunities Fund Ii,,0.9999999999999997,35329,Endeavour Regional Bank Opportunities Fund Ii,1599713.0,53912,,310188,
Bulk Mro Industrial Supply,,1.0,59699,Bulk Mro Industrial Supply,1789292.0,53912,,310188,
Tl Manhattan Village Ii Partners,,0.9999999999999997,149242,Tl Manhattan Village Ii Partners,1914973.0,53912,,310188,
Arthedge Capital Partners,Fitness Capital Partners,0.9046959844946366,122337,Arthedge Capital Partners,1449184.0,1593,Fitness Capital Partners,161570,
Bensboro Seasonal Futures Fund,,0.9999999999999999,80630,Bensboro Seasonal Futures Fund,1630057.0,53912,,310188,
Dublin Surgery Center,,0.9999999999999999,37154,Dublin Surgery Center,1651412.0,53912,,310188,
Pa Hedged Equity Fund,Corbin Hedged Equity Fund,0.6865418150709419,29916,Pa Hedged Equity Fund,1322607.0,17631,Corbin Hedged Equity Fund,173841,9361.0
Epq Krh Crypto Ps,,1.0,145018,Epq Krh Crypto Ps,1910165.0,53912,,310188,
Capitalogix Absolute Return Fund,Seix Multi Sector Absolute Return Fund,0.8382686147066755,69816,Capitalogix Absolute Return Fund,1798111.0,11997,Seix Multi Sector Absolute Return Fund,146029,
Cymbet,,1.0,30523,Cymbet,1376889.0,53912,,310188,
Vinebrook Homes Trust,,1.0000000000000002,43520,Vinebrook Homes Trust,1755755.0,53912,,310188,
An Fund I A Series Of Day One Ventures Syndicate,Fund I A Series Of Sancus Ventures,0.942805928377666,138135,An Fund I A Series Of Day One Ventures Syndicate,1902107.0,60797,Fund I A Series Of Sancus Ventures,321680,
Point,Point Capital Iii,0.8600575903884718,94442,Point,1831790.0,47,Point Capital Iii,283077,6152.0
Gcm Grosvenor Windandsea Fund,,0.9999999999999999,68584,Gcm Grosvenor Windandsea Fund,1612471.0,53912,,310188,
Chapter F  A Series Of Yac Prologue,,1.0,160630,Chapter F  A Series Of Yac Prologue,1933677.0,53912,,310188,
Starta Capital Hybrid Spc Fund Ii, Capital Fund I,0.9668645103183184,103556,Starta Capital Hybrid Spc Fund Ii,1845516.0,48944, Capital Fund I,300538,
Bovie Medical,,1.0,26393,Bovie Medical,719135.0,53912,,310188,
Gatu Prime,,1.0,175081,Gatu Prime,1955625.0,53912,,310188,
Lake Geneva Fund,Geneva Real Estate Fund,0.9526075742002955,106148,Lake Geneva Fund,1589894.0,13512,Geneva Real Estate Fund,121629,2738.0
Marcato,,0.9999999999999999,67285,Marcato,1502801.0,53912,,310188,
Halcyon Ethical Russian Growth Fund,,1.0,33834,Halcyon Ethical Russian Growth Fund,1547505.0,53912,,310188,
Ag Fund I A Series Of Kokopelli Syndicates,,1.0,161669,Ag Fund I A Series Of Kokopelli Syndicates,1935105.0,53912,,310188,
Sandel Avionics,,1.0,30388,Sandel Avionics,1367522.0,53912,,310188,
Bogan Science Fund,,1.0,31565,Bogan Science Fund,1446402.0,53912,,310188,
Pacific General Investments,Maccio Investments,0.9598693747647102,29822,Pacific General Investments,1314612.0,41231,Maccio Investments,169793,
Dvele,Polestar Select,0.9781520188440734,83557,Dvele,1763443.0,31458,Polestar Select,142864,82345.0
D Provisions,,1.0,52762,D Provisions,1781525.0,53912,,310188,
Pure Crypto Alpha,Crypto Native Ventures,0.9832487508975779,138604,Pure Crypto Alpha,1902438.0,60016,Crypto Native Ventures,319723,
Sw Fund I A Series Of Roll Up Vehicles,,0.9999999999999999,135741,Sw Fund I A Series Of Roll Up Vehicles,1898911.0,53912,,310188,
Hedgepremier Ozra Fund,,0.9999999999999999,36269,Hedgepremier Ozra Fund,1628370.0,53912,,310188,
Btx  Qp A Series Of Sax Capital Series Fund V,Felix Capital Series Fund,0.9977523445203725,116958,Btx  Qp A Series Of Sax Capital Series Fund V,1868706.0,5880,Felix Capital Series Fund,163771,3292.0
Dilon Technologies,Disruptive Technology Solutions Biotechnology,0.8281809710071354,134575,Dilon Technologies,1047810.0,22789,Disruptive Technology Solutions Biotechnology,164828,103094.0
Masonic V A Series Of Masonic,,1.0,136200,Masonic V A Series Of Masonic,1890611.0,53912,,310188,
I Minerals,,0.9999999999999999,69220,I Minerals,1405663.0,53912,,310188,
Hfr Master Trusts,Hfr Rva Semper Master Trust,0.7008555544127445,72498,Hfr Master Trusts,1162431.0,1164,Hfr Rva Semper Master Trust,111705,142466.0
Licenselead,,1.0,169482,Licenselead,1945782.0,53912,,310188,
Spur Ventures Vi, Ventures,0.7662442289017298,70442,Spur Ventures Vi,1748556.0,60788, Ventures,322559,
Rgip,,1.0,141051,Rgip,1023656.0,53912,,310188,
Tolleson  Private Investment,Private Market Investment Fund Ii,0.9663517801909656,179203,Tolleson  Private Investment,1959905.0,4028,Private Market Investment Fund Ii,141341,
Nutanix,,1.0,36008,Nutanix,1618732.0,53912,,310188,
Rl Rancho Ca,,1.0,83586,Rl Rancho Ca,1813406.0,53912,,310188,
Acadian Emerging Markets Equity Fund,Emerging Markets Equity Fund,0.5562924037260976,29399,Acadian Emerging Markets Equity Fund,1267697.0,790,Emerging Markets Equity Fund,170017,10985.0
Solar Capital,Soros Capital,0.8381129365495219,31102,Solar Capital,1418076.0,13158,Soros Capital,175215,
Vericred,,0.9999999999999999,36076,Vericred,1620730.0,53912,,310188,
Sumitomo,,1.0,54282,Sumitomo,1099282.0,53912,,310188,
Neuberger Berman Opportunistic Capital Solutions Fund Delaware,Neuberger Berman Global Opportunistic Bond Fund,0.7920966764288953,76920,Neuberger Berman Opportunistic Capital Solutions Fund Delaware,1804918.0,13967,Neuberger Berman Global Opportunistic Bond Fund,167947,
Hedge Fund Select: Koppenberg Macro Commodity Fund,,1.0,65043,Hedge Fund Select: Koppenberg Macro Commodity Fund,1561710.0,53912,,310188,
Cal Fund I A Series Of Sax Capital Series Fund Iii,Fund I A Series Of Masad Capital,0.8137300494985997,125143,Cal Fund I A Series Of Sax Capital Series Fund Iii,1882273.0,60837,Fund I A Series Of Masad Capital,322074,
Capricorn Aip Private Investment Fund I,Private Market Investment Fund Ii,0.9303993786482163,32896,Capricorn Aip Private Investment Fund I,1509794.0,4028,Private Market Investment Fund Ii,141341,
Big Reem,,0.9999999999999999,89708,Big Reem,1823665.0,53912,,310188,
Artisan Global Opportunities Fund,Global Opportunities,0.6223578682763512,164134,Artisan Global Opportunities Fund,1936529.0,3615,Global Opportunities,107738,259.0
Goanna Capital C, Capital Fund I,0.9548085089069706,112125,Goanna Capital C,1862605.0,48944, Capital Fund I,300538,
S Global Multi Strategy Fund,Db Global Masters Multi Strategy Trust,0.7792298340190066,32016,S Global Multi Strategy Fund,1464172.0,585,Db Global Masters Multi Strategy Trust,108204,185.0
Preneed Reinsurance Of America,Flexicat I Reinsurance Partners,0.924888015729915,29017,Preneed Reinsurance Of America,1187720.0,3105,Flexicat I Reinsurance Partners,170482,
Montagu Vi Apollo Invest Ii,,0.9999999999999999,148892,Montagu Vi Apollo Invest Ii,1914421.0,53912,,310188,
Artes Capital Reit I, Capital Fund I,0.936893551146831,97129,Artes Capital Reit I,1836041.0,48944, Capital Fund I,300538,
Provivi,,1.0,36463,Provivi,1634122.0,53912,,310188,
Shaan S All Access Fund A,,0.9999999999999999,131602,Shaan S All Access Fund A,1863844.0,53912,,310188,
Buddy Mac Holdings,,1.0,38797,Buddy Mac Holdings,1691369.0,53912,,310188,
Investcorp Technology Partners V B,Investcorp Technology Partners Iii Cayman,0.5929372871048572,112461,Investcorp Technology Partners V B,1863009.0,6097,Investcorp Technology Partners Iii Cayman,137790,
Capital Group Emerging Markets Debt Common Trust Us,Capital Group Emerging Markets Restricted Equity Common Trust Us,0.6139072717518473,32285,Capital Group Emerging Markets Debt Common Trust Us,1478825.0,790,Capital Group Emerging Markets Restricted Equity Common Trust Us,170017,10985.0
Mw Global Partners,,1.0,62424,Mw Global Partners,1458459.0,53912,,310188,
Nc Savanna Invest Beta,,1.0,116459,Nc Savanna Invest Beta,1868007.0,53912,,310188,
Cardinal Partners,Cardinal Iam,0.8835121099144798,30459,Cardinal Partners,1372259.0,6097,Cardinal Iam,137790,
Ourcrowd Investment In Enverid Iv,Ourcrowd Investment In Enverid V,0.29641100565320094,36300,Ourcrowd Investment In Enverid Iv,1629468.0,11005,Ourcrowd Investment In Enverid V,169475,
Soliton,,1.0,33862,Soliton,1548187.0,53912,,310188,
Fisher Investments Institutional Group Small Cap Value Fund,International Small Cap Equity Fund,0.9594816697932209,35718,Fisher Investments Institutional Group Small Cap Value Fund,1609845.0,11962,International Small Cap Equity Fund,106505,728.0
Empire Village At Liberty Farms,,0.9999999999999999,123355,Empire Village At Liberty Farms,1879723.0,53912,,310188,
Bowmans Bend Energy Opportunity Fund, Energy Opportunity Fund,0.7299926314046685,99686,Bowmans Bend Energy Opportunity Fund,1839868.0,5416, Energy Opportunity Fund,132330,6438.0
Patternag,Battery Alternative Income Fund,0.9861891676932328,92630,Patternag,1826689.0,2496,Battery Alternative Income Fund,161566,75599.0
Skyharbour Resources,,1.0,68421,Skyharbour Resources,1541190.0,53912,,310188,
Systematica Alternative Risk Premia Erisa Fund,Systematica Traditional Asset Risk Premia Fund Limited,0.7699163028675567,43084,Systematica Alternative Risk Premia Erisa Fund,1748090.0,17861,Systematica Traditional Asset Risk Premia Fund Limited,289338,
Reggora,,0.9999999999999999,40757,Reggora,1723302.0,53912,,310188,
Blue Isles Futures Fund,,0.9999999999999999,37878,Blue Isles Futures Fund,1670691.0,53912,,310188,
Autonomy Global Macro Fund,,1.0,67432,Autonomy Global Macro Fund,1510262.0,53912,,310188,
Mce Social Capital,Soros Capital,0.9937777774727201,56962,Mce Social Capital,1676142.0,13158,Soros Capital,175215,
Phfs Vi Sp A Segregated Portfolio Of Phfs Series Spc, Segregated Portfolio A Segregated Portfolio Of Sciens Real Assets Offshore Fund Spc,0.8773152007103953,72139,Phfs Vi Sp A Segregated Portfolio Of Phfs Series Spc,1699060.0,56609, Segregated Portfolio A Segregated Portfolio Of Sciens Real Assets Offshore Fund Spc,299996,
Crescendo Partners Iii,Invesco Venture Partnership Fund Iii,0.9490986092446048,30909,Crescendo Partners Iii,1405546.0,10760,Invesco Venture Partnership Fund Iii,107584,3412.0
Bedford Holdings,Marked Tree Holdings,0.9878521140899782,68979,Bedford Holdings,1797523.0,54621,Marked Tree Holdings,300721,
Grabbr,,0.9999999999999999,36360,Grabbr,1631050.0,53912,,310188,
Mw Eureka Us Fund,,1.0,65245,Mw Eureka Us Fund,1504533.0,53912,,310188,
Multi Strategy Portfolio The Duffield Family Foundation Dba Maddies Fund,Verition Multi Strategy Fund,0.9958488564483566,65044,Multi Strategy Portfolio The Duffield Family Foundation Dba Maddies Fund,1561805.0,9758,Verition Multi Strategy Fund,160328,75584.0
Blackstone Maps Onshore Fund,Blackstone Pacific Opportunities Offshore E Master Fund,0.9158426074408068,55665,Blackstone Maps Onshore Fund,1714387.0,5566,Blackstone Pacific Opportunities Offshore E Master Fund,107580,
Swv Teruko Gates,,1.0,106800,Swv Teruko Gates,1850151.0,53912,,310188,
Western Asset Emerging Markets Local Debt Portfolio,Ashmore Emerging Markets Distressed Debt Fund Limited,0.896178557167316,30633,Western Asset Emerging Markets Local Debt Portfolio,1385122.0,7107,Ashmore Emerging Markets Distressed Debt Fund Limited,170303,11182.0
Ecc Income Reit V,Ecom I,0.9369740236643568,79416,Ecc Income Reit V,1760775.0,47503,Ecom I,298653,
Ovation Tax Lien Fund,,0.9999999999999998,64054,Ovation Tax Lien Fund,1526883.0,53912,,310188,
Tcg Earth City,Tcg Private Equity ,0.9873996596964564,47038,Tcg Earth City,1770914.0,11004,Tcg Private Equity ,159289,9932.0
Sunesis Pharmaceuticals,,1.0,28129,Sunesis Pharmaceuticals,1061027.0,53912,,310188,
Gateway Iv Lithotripsy,,0.9999999999999998,80755,Gateway Iv Lithotripsy,1809211.0,53912,,310188,
Floafers,Cafe Fund,0.9050254639994588,40342,Floafers,1716496.0,14261,Cafe Fund,104942,4835.0
First Vanadium,,1.0,40603,First Vanadium,1720553.0,53912,,310188,
Divorce Force,,0.9999999999999999,100303,Divorce Force,1633433.0,53912,,310188,
Espresso Bookstore Cafe Holdings,,1.0,38696,Espresso Bookstore Cafe Holdings,1688570.0,53912,,310188,
Ad Fund I A Series Of Bob Pasker Funds,Bo Fund I A Series Of Mv Funds,0.8567477925290318,123645,Ad Fund I A Series Of Bob Pasker Funds,1880200.0,54213,Bo Fund I A Series Of Mv Funds,311231,
Athais,,1.0,65650,Athais,1794480.0,53912,,310188,
Vapor,,1.0,21639,Vapor,844856.0,53912,,310188,
Maverick Holdings C,Coin Capital Holdings,0.9510960599199869,73134,Maverick Holdings C,1766143.0,45749,Coin Capital Holdings,289961,
Bio Path Holdings,Coin Capital Holdings,0.9820104066410246,28666,Bio Path Holdings,1133818.0,45749,Coin Capital Holdings,289961,
Macrosolve,,1.0,82047,Macrosolve,1178727.0,53912,,310188,
 Safe Storage,Cafe Fund,0.9389765588539422,143380, Safe Storage,1907434.0,14261,Cafe Fund,104942,4835.0
Ecosystem Integrity Fund Iii,Terra Ecosystem Fund,0.7656171878752259,39079,Ecosystem Integrity Fund Iii,1697951.0,43534,Terra Ecosystem Fund,166939,
Strategos Fund L P,,0.9999999999999999,12880,Strategos Fund L P,1292811.0,53912,,310188,
Mkp Enhanced Opportunity Offshore,Neil Enhanced Opportunities Fund,0.9174465814903753,35546,Mkp Enhanced Opportunity Offshore,1605403.0,13253,Neil Enhanced Opportunities Fund,107105,246.0
Shaked Opportunity Fund,Di Opportunity Fund,0.8318694192029472,34456,Shaked Opportunity Fund,1570398.0,11998,Di Opportunity Fund,168741,13596.0
Actinium Pharmaceuticals,,1.0000000000000002,24154,Actinium Pharmaceuticals,1388320.0,53912,,310188,
